iter	Passed	Remaining
0	178	178809
1	184	91995
2	189	62991
3	194	48485
4	198	39521
5	201	33374
6	203	28909
7	206	25567
8	208	22920
9	210	20804
10	212	19077
11	213	17598
12	215	16348
13	217	15285
14	218	14350
15	219	13529
16	221	12799
17	222	12150
18	224	11570
19	234	11501
20	239	11147
21	242	10782
22	245	10442
23	248	10104
24	250	9763
25	252	9442
26	254	9159
27	256	8891
28	257	8630
29	259	8386
30	261	8158
31	262	7937
32	263	7733
33	265	7539
34	266	7358
35	276	7396
36	281	7314
37	284	7203
38	287	7079
39	289	6956
40	292	6832
41	294	6709
42	296	6591
43	298	6476
44	299	6358
45	301	6244
46	302	6137
47	304	6033
48	305	5928
49	312	5942
50	318	5917
51	321	5858
52	323	5785
53	326	5718
54	328	5651
55	331	5579
56	332	5506
57	334	5435
58	337	5383
59	340	5331
60	341	5258
61	342	5187
62	344	5121
63	345	5056
64	359	5167
65	362	5133
66	366	5103
67	368	5057
68	372	5026
69	374	4974
70	376	4924
71	378	4879
72	380	4828
73	381	4779
74	383	4729
75	385	4681
76	386	4631
77	387	4583
78	389	4536
79	390	4490
80	398	4515
81	403	4522
82	405	4483
83	409	4461
84	411	4431
85	414	4403
86	416	4370
87	418	4336
88	420	4302
89	422	4268
90	423	4233
91	425	4198
92	426	4164
93	428	4128
94	429	4095
95	431	4061
96	432	4028
97	434	3996
98	445	4053
99	449	4046
100	454	4042
101	457	4028
102	460	4009
103	462	3983
104	464	3957
105	466	3931
106	467	3903
107	469	3874
108	470	3848
109	472	3821
110	473	3793
111	474	3765
112	476	3738
113	477	3711
114	479	3686
115	488	3720
116	491	3711
117	495	3701
118	498	3687
119	500	3670
120	502	3653
121	504	3630
122	506	3610
123	508	3590
124	510	3571
125	511	3549
126	513	3526
127	514	3505
128	516	3486
129	517	3466
130	519	3445
131	520	3424
132	525	3426
133	532	3444
134	536	3438
135	539	3430
136	542	3416
137	545	3404
138	547	3391
139	549	3374
140	551	3359
141	552	3339
142	554	3322
143	556	3306
144	557	3288
145	559	3270
146	560	3251
147	561	3233
148	563	3215
149	564	3197
150	567	3191
151	572	3192
152	575	3187
153	578	3178
154	581	3167
155	583	3157
156	585	3143
157	587	3130
158	589	3117
159	591	3102
160	592	3086
161	593	3072
162	595	3057
163	596	3042
164	598	3027
165	599	3012
166	600	2996
167	605	2997
168	613	3015
169	617	3012
170	620	3007
171	622	2997
172	624	2987
173	627	2976
174	628	2964
175	630	2953
176	632	2940
177	634	2928
178	636	2917
179	637	2905
180	639	2892
181	640	2878
182	641	2864
183	642	2850
184	644	2838
185	647	2833
186	655	2851
187	659	2847
188	662	2843
189	665	2836
190	667	2827
191	669	2818
192	671	2809
193	673	2799
194	675	2788
195	677	2777
196	678	2766
197	680	2755
198	681	2743
199	682	2731
200	684	2720
201	685	2709
202	687	2697
203	688	2685
204	689	2674
205	690	2662
206	691	2650
207	692	2638
208	701	2653
209	706	2657
210	709	2653
211	712	2646
212	714	2639
213	716	2632
214	718	2625
215	720	2616
216	722	2607
217	724	2597
218	725	2588
219	727	2578
220	728	2569
221	730	2559
222	731	2549
223	733	2539
224	734	2529
225	735	2519
