iter	Passed	Remaining
0	165	164978
1	169	84391
2	171	56879
3	173	43130
4	175	34851
5	176	29272
6	187	26583
7	191	23709
8	194	21375
9	196	19458
10	201	18081
11	203	16731
12	205	15581
13	206	14573
14	208	13690
15	217	13385
16	221	12829
17	224	12267
18	227	11733
19	229	11245
20	239	11142
21	245	10896
22	248	10539
23	251	10209
24	254	9930
25	257	9657
26	259	9353
27	261	9074
28	263	8811
29	264	8566
30	275	8611
31	279	8446
32	282	8283
33	285	8115
34	291	8048
35	301	8072
36	304	7934
37	307	7793
38	311	7669
39	314	7554
40	316	7403
41	319	7297
42	330	7352
43	336	7301
44	339	7201
45	341	7084
46	348	7056
47	356	7063
48	360	6993
49	364	6918
50	367	6829
51	371	6766
52	373	6668
53	375	6573
54	378	6501
55	381	6426
56	390	6464
57	394	6408
58	397	6343
59	400	6273
60	405	6237
61	407	6167
62	410	6107
63	412	6030
64	414	5956
65	424	6007
66	429	5982
67	433	5939
68	440	5950
69	444	5905
70	447	5848
71	449	5796
72	451	5729
73	461	5772
74	464	5730
75	467	5687
76	470	5637
77	472	5586
78	476	5555
79	478	5503
80	480	5449
81	481	5392
82	482	5329
83	483	5276
84	493	5309
85	499	5308
86	502	5274
87	505	5240
88	508	5208
89	512	5177
90	514	5134
91	515	5092
92	517	5049
93	519	5005
94	526	5016
95	532	5015
96	535	4985
97	537	4951
98	540	4919
99	543	4894
100	545	4859
101	547	4822
102	549	4784
103	550	4745
104	555	4737
105	564	4759
106	568	4747
107	571	4723
108	576	4714
109	579	4686
110	581	4655
111	582	4622
112	584	4591
113	587	4563
114	589	4532
115	590	4500
116	591	4465
117	593	4432
118	601	4454
119	608	4460
120	611	4442
121	613	4415
122	615	4390
123	618	4370
124	621	4348
125	623	4321
126	624	4294
127	626	4266
128	627	4238
129	629	4212
130	630	4184
131	639	4203
132	644	4204
133	647	4187
134	651	4175
135	653	4153
136	656	4133
137	658	4111
138	660	4088
139	662	4066
140	663	4042
141	664	4016
142	666	3993
143	667	3968
144	669	3945
145	674	3946
146	684	3970
147	687	3960
148	690	3943
149	693	3927
150	695	3909
151	697	3889
152	699	3872
153	701	3852
154	702	3830
155	704	3809
156	705	3788
157	707	3767
158	708	3747
159	718	3773
160	721	3758
161	725	3750
162	727	3737
163	729	3720
164	732	3705
165	734	3690
166	736	3673
167	738	3656
168	740	3639
169	741	3621
170	743	3604
171	750	3614
172	757	3621
173	760	3611
174	764	3604
175	766	3589
176	769	3577
177	771	3563
178	773	3549
179	775	3533
180	777	3517
181	778	3500
182	780	3483
183	781	3466
184	782	3449
185	790	3458
186	796	3460
187	800	3456
188	803	3446
189	805	3433
190	807	3422
191	809	3407
192	811	3393
193	813	3380
194	816	3368
195	817	3354
196	819	3340
197	823	3335
198	832	3351
199	836	3344
200	839	3335
201	841	3325
202	843	3313
203	846	3302
204	848	3288
205	850	3276
206	851	3263
207	853	3249
208	854	3234
209	856	3222
210	858	3208
211	860	3196
212	869	3211
213	873	3206
214	876	3201
215	879	3190
216	881	3179
217	883	3169
218	885	3156
219	887	3145
220	888	3133
221	890	3120
222	892	3108
223	893	3095
224	895	3082
225	896	3070
226	901	3071
227	910	3081
228	913	3075
229	916	3067
230	918	3056
231	921	3049
232	923	3039
233	925	3029
234	927	3018
235	928	3006
236	929	2993
237	931	2981
238	932	2968
239	933	2956
240	942	2966
241	947	2966
242	950	2960
243	953	2954
244	955	2945
245	958	2938
246	960	2927
247	961	2916
248	963	2906
249	965	2897
250	967	2885
251	968	2874
252	970	2864
253	971	2853
254	972	2841
255	973	2829
256	974	2818
257	975	2806
258	977	2795
259	980	2791
260	988	2799
261	992	2796
262	995	2788
263	997	2780
264	999	2772
265	1001	2762
266	1003	2753
267	1004	2743
268	1006	2735
269	1008	2726
270	1009	2716
271	1011	2707
272	1012	2697
273	1014	2686
274	1015	2676
275	1016	2666
276	1017	2656
277	1022	2655
278	1030	2664
279	1034	2658
280	1037	2654
281	1039	2647
282	1042	2640
283	1043	2631
284	1045	2622
285	1047	2614
286	1048	2605
287	1051	2598
288	1053	2592
289	1055	2583
290	1056	2574
291	1065	2583
292	1070	2582
293	1073	2577
294	1076	2571
295	1078	2564
296	1080	2557
297	1082	2550
298	1084	2541
299	1085	2533
300	1087	2525
301	1089	2517
302	1090	2509
303	1092	2500
304	1093	2491
305	1097	2489
306	1105	2494
307	1108	2490
308	1112	2487
309	1114	2480
310	1116	2473
311	1118	2466
312	1120	2458
313	1122	2451
314	1123	2443
315	1125	2436
316	1127	2429
317	1128	2420
318	1130	2412
319	1131	2404
320	1132	2395
321	1133	2387
322	1134	2378
323	1136	2370
324	1140	2367
325	1148	2374
326	1152	2371
327	1155	2367
328	1157	2361
329	1159	2354
330	1161	2348
331	1163	2341
332	1165	2334
333	1167	2327
334	1170	2322
335	1172	2316
336	1173	2308
337	1174	2301
338	1180	2301
339	1187	2305
340	1191	2301
341	1194	2297
342	1196	2291
343	1200	2289
344	1202	2283
345	1204	2276
346	1206	2271
347	1208	2263
348	1209	2256
349	1211	2249
350	1212	2242
351	1226	2257
352	1229	2253
353	1232	2249
354	1235	2244
355	1237	2239
356	1239	2232
357	1241	2226
358	1243	2220
359	1246	2215
360	1247	2208
361	1249	2202
362	1251	2195
363	1252	2188
364	1253	2180
365	1254	2173
366	1255	2166
367	1257	2158
368	1268	2168
369	1272	2165
370	1274	2161
371	1278	2157
372	1280	2152
373	1282	2147
374	1284	2141
375	1286	2135
376	1288	2128
377	1291	2125
378	1293	2119
379	1295	2113
380	1298	2109
381	1309	2117
382	1312	2114
383	1315	2110
384	1317	2104
385	1320	2100
386	1322	2094
387	1324	2089
388	1326	2083
389	1328	2077
390	1329	2071
391	1331	2064
392	1332	2058
393	1340	2062
394	1345	2060
395	1349	2057
396	1353	2055
397	1356	2052
398	1358	2046
399	1364	2046
400	1372	2049
401	1375	2045
402	1378	2042
403	1381	2037
404	1387	2038
405	1389	2032
406	1391	2027
407	1392	2021
408	1394	2014
409	1395	2008
410	1397	2003
411	1407	2009
412	1413	2009
413	1417	2005
414	1419	2000
415	1422	1997
416	1424	1991
417	1427	1987
418	1429	1981
419	1430	1975
420	1432	1969
421	1433	1963
422	1434	1957
423	1435	1950
424	1439	1947
425	1449	1952
426	1452	1948
427	1454	1944
428	1458	1941
429	1460	1936
430	1462	1930
431	1464	1925
432	1466	1919
433	1467	1914
434	1469	1908
435	1470	1901
436	1472	1896
437	1475	1893
438	1484	1896
439	1488	1893
440	1491	1890
441	1493	1885
442	1495	1880
443	1497	1875
444	1499	1870
445	1502	1865
446	1503	1860
447	1505	1854
448	1506	1849
449	1508	1843
450	1510	1838
451	1518	1840
452	1523	1840
453	1526	1836
454	1531	1834
455	1534	1830
456	1536	1825
457	1538	1821
458	1543	1819
459	1551	1821
460	1562	1827
461	1567	1825
462	1573	1824
463	1575	1820
464	1578	1816
465	1581	1812
466	1588	1812
467	1602	1822
468	1608	1821
469	1613	1818
470	1616	1815
471	1618	1810
472	1621	1806
473	1623	1801
474	1626	1798
475	1645	1811
476	1650	1809
477	1653	1805
478	1656	1801
479	1659	1797
480	1661	1792
481	1663	1788
482	1666	1784
483	1691	1803
484	1694	1799
485	1697	1795
486	1700	1791
487	1702	1786
488	1705	1782
489	1716	1786
490	1728	1792
491	1731	1787
492	1733	1783
493	1742	1784
494	1744	1779
495	1745	1773
496	1746	1767
497	1748	1762
498	1760	1767
499	1765	1765
500	1769	1762
501	1772	1758
502	1774	1753
503	1777	1749
504	1779	1744
505	1782	1740
506	1784	1735
507	1786	1730
508	1788	1725
509	1790	1720
510	1802	1724
